,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,29436,8124,265,329,234,183,116,39,16,25,36,26,94,23,8,27,23,49,23,39,21,28,72,47,63,25,86,92,1,4,11,5,13
Azerbaijan,211,1019,120,201,237,140,50,23,15,24,97,23,107,78,73,56,37,76,29,13,41,109,55,80,45,100,82,118,2,0,14,114,77
Belarus,19648,14642,906,1702,2055,1318,469,550,546,509,720,750,1072,1161,580,290,145,176,105,44,57,64,356,248,121,160,226,174,24,16,2,4,5
Georgia (CIS),2929,463,162,346,211,226,66,51,23,67,88,35,107,46,66,67,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,2183,1875,79,66,142,134,68,25,49,92,85,45,87,88,26,48,23,56,23,16,29,18,91,69,11,35,16,35,2,7,8,15,52
Kyrgyzstan,280,494,22,16,27,27,25,19,10,18,29,19,13,20,19,5,9,15,5,11,19,14,9,20,20,5,1,2,0,1,11,7,0
Russian Federation,106662,42670,9167,11145,8461,5323,5964,2595,5146,2361,3758,3270,3952,3294,1353,1767,1793,1713,1327,1404,2204,1604,1999,1524,1871,1682,1729,1398,213,3711,1263,582,61
Tajikistan,0,0,16,92,11,18,6,5,15,4,16,4,30,8,6,2,4,4,0,3,9,2,15,16,14,3,16,20,0,0,0,0,0
Turkmenistan,239,93,23,20,15,27,8,8,4,0,3,4,0,7,0,1,0,2,0,12,2,0,0,7,0,3,1,3,0,0,0,0,0
Ukraine,119111,24086,3876,4308,5057,3997,3323,1944,1969,2261,2947,3283,3173,3406,1472,1335,1542,979,730,1189,987,1042,1537,1785,1560,1264,1542,1312,1038,2735,7536,6100,2236
Uzbekistan,282,157,81,72,218,58,69,12,59,19,41,28,12,24,8,2,5,13,0,5,8,1,35,18,12,9,5,30,0,0,0,7,0
